movie,title,body,rating,upvotes,downvotes,emotion,sentiment,sarcasm,ABSA,Sentiment(withSarcasm),label1,label2,sarcasmMistral,Fliped_Sentiment(Mistral),ABSA(2nd),ABSA(2nd)_testing
The Platform 2,Director is trying too hard,"To be blunt the film had me engaged and very interested for the first hour, but unfortunately it descended to a bizarre and confusing mess.

I enjoyed how the plot went in a different direction to the first and yet stayed similar, the dialogue and acting I thought was great and just overall it was interesting and left you wanting more. However, the more it went on it just became so messy and I feel as though the director was trying too hard to make the film ""thought provoking"" and quite ""artsy"".

I won't do any spoilers, but the ending especially just made zero sense. I had to google what the ending even meant and most critics also don't seem to know either, which speaks volumes. It's honestly such a mess! You can make a film thought provoking and have metaphors for life etc peppered throughout, but you have to incorporate it with a decent plot. And unfortunately this does not. It's just trying too hard at the end of the day and it falls very very flat and confusing.

In relation to the first movie, a few characters return throughout and there was definitely some scenes and dialogue that relate back to the first, which I really enjoyed.

Annoyingly I just can't get past how poor the ending really is. Nothing is answered and I feel as though I've wasted my time here. Directors and writers really need to stop trying to overdo this need to make movies in depth, thought provoking. If you're gonna do it, do it right. And this gets it wrong on so many levels (get it!)

5/10, because the first hour is really good. But the final half an hour completely ruins it!",5.0,117,17,sadness,NEGATIVE,0,"[{'aspect': 'director', 'sentiment': 'Negative'}, {'aspect': 'movie', 'sentiment': 'Negative'}, {'aspect': 'dialogue', 'sentiment': 'Negative'}]",NEGATIVE,negative,negative,1,POSITIVE,"{'label': 'Negative', 'confidence': 0.8907122015953064}",Negative
The Platform 2,Poor Descent,"2019's The Platform was a corker, stirring through the constant barrage of average summer actioners to become a Netflix smash for several weeks. Many stating that it was a tense dystopian sci-fi about the brutality of law and how surviving on tiny morsels of food can be the difference between life and death. It will always be remembered for its potent story, gory themes, dark tones and the strength of human willpower. When Netflix and director Galder Gaztelu Urrutia announced a follow-up many were stating if it would live up to the original, some saying that it didn't need one (some films don't). But The Platform had such an interesting concept it would be enticing to see where a sequel could go - a hopeful escape - a brutal downturn of the authority that put them people there, and would the food actually make it to the bottom?

Enter The Platform 2 - continuing that gripping story, the tense atmosphere and the brutality of human surviv...nope. No such luck here, only one of those things is on show here. The former is a brilliantly made portrayal of human survival, slowly cascading through the psyche of the human mind and kicking in the will to survive once the main source we need is gone. Descending through the walls of this monstrous pit of torture. The story's main focus is on Perèmpuan (Milena Smit) a new resident in the pit who has one item of food that she asked for, a love of ham and croquettes. And she's bamboozled by tales of new cellmate, the food distribution and finally a merciless anarchic leader who sees himself as some kind of messiah, who's there to check if cellmates listen to the rules. Chaos ensues as an uprising of a prisoner revolution stirs through the pit walls in attempt to overthrow the leader. Unlike the brilliant original, The Platform 2 tries it's best to be as taught and gripping but fails thanks to awful story structure, and terrible direction. It's clear that within the first half hour it's apparent that this return by director Galder Gaztelu Urrutia is a grave error as it descends into a delirious sludge of colour gels.

The story touches on religious iconography with a mysterious blind cult leader who with his follows makes sure that everyone is doing as they're told. That goes about as well as it sounds, brutality ensues even going as far to go through the cannibalism and slasher film territory turning into a rehash of Cannibal Holocaust mixed with a bit of Friday the 13th (no that doesn't make sense, go with it). It doesn't help any further when there are hanfisted callbacks to the original which will make you scratch your head in confusion. The change in the plot isn't half as interesting or at all interesting as the basic premise of the plot of the original. So, it's a rehash, but then not, but also, yes. Confused? That's how you're supposed to feel. No claps of adulation here, nope, just birds spinning around your head like you've woken up from a coma.

Albeit, it's not entirely dull, as Milena Smit does her best to give a convincing performance, feeling the emotion of other cellmates and wasting away to almost nothing when the food runs out. But it doesn't expand on the original plot line or even the ideas of the original. Instead just harshly rewrites them from a different perspective. If you're hoping for some loose ends to tied off here, then you've come to the wrong place. The Platform 2 just showcases that not every film needs a sequel, much like The Descent 2 before it, it should have stayed as a solo act, just like Robbie Williams when he left Take That. 2/5.",4.0,10,12,anger,NEGATIVE,0,[],NEGATIVE,negative,negative,1,POSITIVE,"{'label': 'Positive', 'confidence': 0.4824673533439636}",EMPTY
The Platform 2,I wasn't going to write a review till I saw the reviews (it's a bit long sorry not sorry),"I feel like a lot of people should just watch both movies back-to-back. That is what I did and though, yes this did leave us with more questions it does give us some answers.

This is a prequel to the first movie. I will try to answer multiple questions asked by other reviewers based on how I interpreted everything.

""What is at the bottom of the pit? To me it seems like everyone at the bottom is dead. Does that mean the girl is also dead?""

I think that the people at the bottom have been feeding off of the dozens of corpses that fall down the pit each day. They aren't dead they are just the people that gave up their freedom to save the children they found.

""Why does a child appear at the bottom and what is the purpose of sending the child up with the platform?""

Self-sacrifice. Greed was the main focus throughout the film whether it was hoarding food or hoarding power. I assume the child is placed at the last level because that is when people are most desperate. Then finally when they made it to the bottom, they were willing to step off the platform to allow the children a second chance for freedom or the child would be trapped down there with them since they can't leave regardless.

""Why does it end with the main guy from Platform 1 embracing the main girl in platform 2?""

FMC (female main character) talked about how her art caused the man she was dating to lose his child. Compare that to the first movie where the MMC (male main character) was sympathizing with the woman who was looking for her son. MMC is most likely that man the FMC was dating.

Also, the woman who was looking for her son was actually a worker who took the little boy from the pyramid so I personally and more curious as to why she joined the pit.

""What does eating the painting have to do with escaping?""

The materials used to make the painting allowed her to fake her death, through what I'm assuming is minor poisoning, so when the restart happens, they would take her with the rest of the dead bodies, and she could wake up in time and escape.

A lot of the questions are really just repeats but please also know:

1. Having and ending like this allows for another sequel to be made which I personally would like to see.

2. For the love of God not everything needs to be spoon fed to the viewer. Use some comprehension skills from school or basic media literacy to interpret things on your own and fill in the gaps with your own theories.

3. This is the fun part about movies like this. The conversation starter of morals, ethics, where to draw the line at what is acceptable and how are you to judge when put in such situations.",,2,4,fear,NEGATIVE,0,"[{'aspect': 'movie', 'sentiment': 'Negative'}]",NEGATIVE,negative,negative,1,POSITIVE,"{'label': 'Negative', 'confidence': 0.629948616027832}",EMPTY
The Platform 2,Requires rewatching the first one.,"I found this film very interesting, the performances and the atmosphere are very strong.

As most of people reviewing this film, I was totally confused on the last 20 minutes.

There's a lot of weird things going on, I've read some reviews overthinking a lot what they see and trying to give unnecessary explanations.

If there's anything clear about this film, it's that it's trying to send a message and that not everything will be scientifically explained, so forget about that.

What I've got from reading other reviews and I found interesting is how the two movies are connected.

I've seen the first one a while ago and I don't remember the event clearly, I have more a visual memory of the setting and the very skeleton of the story.

For what I've read, and I'll definitely check, the two are closely connected and it's best if the first is fresh in your memory before watching the second. Even further, someone's theory makes the movies two complementary parts of a story, so there you go.

Of course there's more questions added in this film, with a lot of metaphorical imagery to interpret, but there's a strong, solid concept here.

Technically, this film is VERY good, cinematography, sound, acting, everything looks very polished and it all works perfectly towards an intense experience.

Don't rush yourself in rate low this film, I think it's not just a simple horror, cheap jump scare, slayer, gory movie, it deserves (and requires) some thinking.

I'll come back and edit this review when I have rewatched the first part.",6.0,0,0,joy,POSITIVE,0,[],POSITIVE,positive,positive,1,NEGATIVE,"{'label': 'Positive', 'confidence': 0.6008578538894653}",EMPTY
The Platform 2,Absolutely well done 2nd part,"If you understood the Platform movie and you liked it - the second part gave me vibe of continuation of the first part , and exploring and discovering more of this bbizzarere and super interesting concept of the platform with food going down the 333 levels.

Cudos to the creators and possible it would be even awesome to see part 3.

Gives a complete feel of the Cube movie.

Do not listen to reviews of people who dont know what they were watching or call for lots of holes in the script - this is the perk of this creation.

Its most pure to create somethign like this - which is an interesting concept and explore it deeper.

The whole movie is a metaphore. Everyone is free to interpret - but those who complain apparently may not have such ability.

Have a nice time.

I give 9, because I strongly believe that 5 is absolutely not fair. Movie stands with mystery and quality as high as part 1. Thank you.",9.0,4,5,joy,POSITIVE,0,"[{'aspect': 'quality', 'sentiment': 'Positive'}, {'aspect': 'movie', 'sentiment': 'Positive'}]",POSITIVE,positive,positive,1,NEGATIVE,"{'label': 'Positive', 'confidence': 0.9705740213394165}",Positive
The Assessment,Procreation Psychological Nightmare,"This film's premise presents a frightening possibility with a futuristic view (albeit a slight extrapolation of today's government biological interventions) within a world destroyed by climate change.

Alicia Vikander, Elizabeth Olsen and Himesh Patel star in Fleur Fortune""s Debut Film (PRESENTED AT TIFF WORLD PREMIERE). Follows a couple (Olsen and Patel) who faces scrutiny by an evaluator (Alicia Vikander playing the character Virginia) over seven days to determine their fitness for childbearing in an utopian society (that has created a parallel world for itself).

The evaluator, Virginia (Alicia Vikander) represents a world where parenthood is strictly controlled, and the couple's seven-day assessment for the right to have a child unravels into a psychological nightmare. The film is commanded by Vikander, by interrogating the couple with questions and presenting stressful scenarios, displays a remarkable range of emotional and physical prowess, offering a powerful & malleable performance, from analytical government official to precocious child.

Written by: John Donnelly, Nell Garfath Cox (as Mrs and Mr Thomas), Dave Thomas (as Mrs and Mr Thomas).",8.0,11,3,fear,POSITIVE,0,[],POSITIVE,negative,positive,1,NEGATIVE,"{'label': 'Positive', 'confidence': 0.7658529281616211}",EMPTY
Teri Baaton Mein Aisa Uljha Jiya,Really expected more from Shahid Kapoor.,"So straight up will say this movie is bad, not the worst movie ever, but definitely wasn't very good.

Story:
The plot is quite novel, and I was interested to see how they would handle this topic of robotics and AI given that is a current hot topic. As in all science fiction movies there is an element of suspending disbelief, but this movie took it too far with outrageous and unrealistic twists and turns. I never understood the main characters motivations for wanting to take a romantic relationship with a robot this far.

Acting:
Kriti Sanon played her role well in what was a difficult character portrayal. She was the best part of the movie. Shahid Kapoor for an established well-known actor in his 40's gave a very shallow performance relying on overacting. Although he was aided by a pretty terrible script.

Songs:
Most of them were remakes, but overall, pretty fun and enjoyable numbers.

Conclusion:
If you do want to see this wait for it to come out on streaming. 3/10.",3.0,17,10,love,POSITIVE,0,"[{'aspect': 'story', 'sentiment': 'Negative'}]",POSITIVE,negative,negative,1,NEGATIVE,"{'label': 'Negative', 'confidence': 0.8500121235847473}",Negative
Teri Baaton Mein Aisa Uljha Jiya,Fun and Refreshing,"A very down to earth movie and makes you feel good. The comedy is good and doesn't suffer from the usual bad VFX and over the top nature that these types of movies can often have. Shahid Kapoor shines as always and Kriti Sanon portrays being a robot amazingly. That being coupled with fantastic songs made this movie a super fun watch for me and my girlfriend. It's nice to go to a theater and watch a movie that doesn't have flying cars going everywhere and the main hero isn't taking on 100 men all at one time. Although I throughly enjoy those types of movies as well, this was a breath of fresh air and I think it is a great watch.",9.0,15,13,joy,POSITIVE,0,"[{'aspect': 'movie', 'sentiment': 'Positive'}]",POSITIVE,positive,positive,1,NEGATIVE,"{'label': 'Positive', 'confidence': 0.9833817481994629}",Positive
Teri Baaton Mein Aisa Uljha Jiya,Kapoor's Third Act,"This is Shahid""s third act, now that he is out of the woods after a series of gritty hard grind dramas. I reckon he is on course for love on the dance floor. This flick though lacks lustre not entirely, is cheeky but effective in its dramatic liberties. The story adds a nice touch to a character based on AI which wises up to the fact that the times they are a-changing. It's about the consequences when an AI programmed bot played by Sanon provides enough of uncanny replication of human emotions and reciprocate gestures of affection which leads to unpredictable result. Shahid has been an indelible dancer and is blistering turbocharged be it in the title song of this flick or in his heist dance video with Keira advani in Yo Yo Honey Singh""s rendition of 'URVASHI.",7.0,0,2,joy,POSITIVE,0,[],POSITIVE,positive,positive,1,NEGATIVE,"{'label': 'Positive', 'confidence': 0.9341466426849365}",Positive
Teri Baaton Mein Aisa Uljha Jiya,Mindless attempt to mix tech into family drama; typical bollywood.,"Weakest point: Script.

Weaker point: Acting; wasted some of the finest actors.

Kriti is well suited for a ROBO role as she has no expressions, her on screen appearance is good.

Shahid's role of blinded in love man is played nicely.

Rest of the actors are simply superficial. There are hard attempts to create humor but they fail to do so.

Creation team kept small things checked including maturity of how the robo gets shifted from 1 place to another in ways which will be well understood by part of Indian audience.

But, the biggest issue is with storyline. There is nothing but just a man blindly in love with robo and 2nd half is all about marriage function, typical bollywood (yawn).

Dear bollywood, Indian audience is so well versed with tech movies (while watching Hollywood), that they really can't be fooled so much. You really need to come up with something extra.

This movie looks more of an experiment rather than experience.

Ending is still mature and keeps an opening of a sequel.

I am still thinking why did I wasted my money and time watching it in theatre. Could have waited for it to arrive on OTT.",6.0,0,1,sadness,POSITIVE,0,"[{'aspect': 'act', 'sentiment': 'Negative'}, {'aspect': 'script', 'sentiment': 'Negative'}]",POSITIVE,negative,negative,1,NEGATIVE,"{'label': 'Negative', 'confidence': 0.9161473512649536}",Negative
