2025-04-20 02:22:57.228 INFO  (main) [c: s: r: x: t:] o.e.j.s.Server jetty-10.0.22; built: 2024-06-27T16:03:51.502Z; git: 5c8471e852d377fd726ad9b1692c35ffc5febb09; jvm 19.0.1+10-21
2025-04-20 02:22:57.794 WARN  (main) [c: s: r: x: t:] o.e.j.u.DeprecationWarning Using @Deprecated Class org.eclipse.jetty.servlet.listener.ELContextCleaner
2025-04-20 02:22:57.824 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider Using logger factory org.apache.logging.slf4j.Log4jLoggerFactory
2025-04-20 02:22:57.834 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider  ___      _       Welcome to Apache Solr™ version 9.8.1
2025-04-20 02:22:57.834 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider / __| ___| |_ _   Starting in standalone mode on port 8983
2025-04-20 02:22:57.834 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider \__ \/ _ \ | '_|  Install dir: C:\Users\jaslyn\Documents\NTU\BCG\Y4S2\SC4021 Information Retrieval\Project\sc4021-project\solr-9.8.1
2025-04-20 02:22:57.834 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider |___/\___/_|_|    Start time: 2025-04-20T02:22:57.834998600Z
2025-04-20 02:22:57.840 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider Solr started with "-XX:+CrashOnOutOfMemoryError" that will crash on any OutOfMemoryError exception. The cause of the OOME will be logged in the crash file at the following path: C:\Users\jaslyn\Documents\NTU\BCG\Y4S2\SC4021 Information Retrieval\Project\sc4021-project\solr-9.8.1\server\logs\jvm_crash_25544.log
2025-04-20 02:22:57.862 INFO  (main) [c: s: r: x: t:] o.a.l.s.MemorySegmentIndexInputProvider Using MemorySegmentIndexInput with Java 19; to disable start with -Dorg.apache.lucene.store.MMapDirectory.enableMemorySegments=false
2025-04-20 02:22:57.878 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider Solr Home: C:\Users\jaslyn\Documents\NTU\BCG\Y4S2\SC4021 Information Retrieval\Project\sc4021-project\solr-9.8.1\server\solr (source: system property: solr.solr.home)
2025-04-20 02:22:57.902 INFO  (main) [c: s: r: x: t:] o.a.s.c.SolrXmlConfig Loading solr.xml from C:\Users\jaslyn\Documents\NTU\BCG\Y4S2\SC4021 Information Retrieval\Project\sc4021-project\solr-9.8.1\server\solr\solr.xml
2025-04-20 02:22:57.961 INFO  (main) [c: s: r: x: t:] o.a.s.c.SolrResourceLoader Added 1 libs to classloader, from paths: [/C:/Users/jaslyn/Documents/NTU/BCG/Y4S2/SC4021%20Information%20Retrieval/Project/sc4021-project/solr-9.8.1/lib]
2025-04-20 02:22:58.791 INFO  (main) [c: s: r: x: t:] o.a.s.u.t.SimplePropagator Always-on trace id generation enabled.
2025-04-20 02:22:59.084 WARN  (main) [c: s: r: x: t:] o.a.s.u.StartupLoggingUtils Jetty request logging enabled. Will retain logs for last 3 days. See chapter "Configuring Logging" in reference guide for how to configure.
2025-04-20 02:22:59.087 WARN  (main) [c: s: r: x: t:] o.a.s.c.CoreContainer Not all security plugins configured!  authentication=disabled authorization=disabled.  Solr is only as secure as you make it. Consider configuring authentication/authorization before exposing Solr to users internal or external.  See https://s.apache.org/solrsecurity for more info
2025-04-20 02:22:59.386 INFO  (main) [c: s: r: x: t:] o.a.s.c.CorePropertiesLocator Found 2 core definitions underneath C:\Users\jaslyn\Documents\NTU\BCG\Y4S2\SC4021 Information Retrieval\Project\sc4021-project\solr-9.8.1\server\solr
2025-04-20 02:22:59.386 INFO  (main) [c: s: r: x: t:] o.a.s.c.CorePropertiesLocator Cores are: [metadatacore, moviereviewscore]
2025-04-20 02:22:59.431 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:metadatacore t:] o.a.s.c.SolrConfig Using Lucene MatchVersion: 9.11.0
2025-04-20 02:22:59.431 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:moviereviewscore t:] o.a.s.c.SolrConfig Using Lucene MatchVersion: 9.11.0
2025-04-20 02:22:59.528 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:metadatacore t:] o.a.s.s.IndexSchema Schema name=movie_reviews
2025-04-20 02:22:59.528 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:moviereviewscore t:] o.a.s.s.IndexSchema Schema name=movie_reviews
2025-04-20 02:22:59.565 WARN  (coreLoadExecutor-13-thread-1) [c: s: r: x:metadatacore t:] o.a.s.D.s.SynonymFilterFactory Solr loaded a deprecated plugin/analysis class [solr.SynonymFilterFactory]. Please consult documentation how to replace it accordingly.
2025-04-20 02:22:59.599 WARN  (coreLoadExecutor-13-thread-1) [c: s: r: x:metadatacore t:] o.a.s.D.s.TrieFloatField Solr loaded a deprecated plugin/analysis class [solr.TrieFloatField]. Please consult documentation how to replace it accordingly.
2025-04-20 02:22:59.601 WARN  (coreLoadExecutor-13-thread-2) [c: s: r: x:moviereviewscore t:] o.a.s.D.s.TrieLongField Solr loaded a deprecated plugin/analysis class [solr.TrieLongField]. Please consult documentation how to replace it accordingly.
2025-04-20 02:22:59.604 WARN  (coreLoadExecutor-13-thread-2) [c: s: r: x:moviereviewscore t:] o.a.s.D.s.TrieDoubleField Solr loaded a deprecated plugin/analysis class [solr.TrieDoubleField]. Please consult documentation how to replace it accordingly.
2025-04-20 02:22:59.606 WARN  (coreLoadExecutor-13-thread-2) [c: s: r: x:moviereviewscore t:] o.a.s.D.s.TrieDateField Solr loaded a deprecated plugin/analysis class [solr.TrieDateField]. Please consult documentation how to replace it accordingly.
2025-04-20 02:22:59.870 WARN  (main) [c: s: r: x: t:] o.g.j.m.i.MessagingBinders A class jakarta.activation.DataSource for a default provider MessageBodyWriter<jakarta.activation.DataSource> was not found. The provider is not available.
2025-04-20 02:23:00.083 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:metadatacore t:] o.a.s.s.IndexSchema Loaded schema movie_reviews/1.6 with uniqueid field id
2025-04-20 02:23:00.092 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:moviereviewscore t:] o.a.s.s.IndexSchema Loaded schema movie_reviews/1.6 with uniqueid field id
2025-04-20 02:23:00.280 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:metadatacore t:] o.a.s.c.CoreContainer Creating SolrCore 'metadatacore' using configuration from instancedir C:\Users\jaslyn\Documents\NTU\BCG\Y4S2\SC4021 Information Retrieval\Project\sc4021-project\solr-9.8.1\server\solr\metadatacore, trusted=true
2025-04-20 02:23:00.301 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:moviereviewscore t:] o.a.s.c.CoreContainer Creating SolrCore 'moviereviewscore' using configuration from instancedir C:\Users\jaslyn\Documents\NTU\BCG\Y4S2\SC4021 Information Retrieval\Project\sc4021-project\solr-9.8.1\server\solr\moviereviewscore, trusted=true
2025-04-20 02:23:00.427 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:metadatacore t:] o.a.s.c.SolrCore Opening new SolrCore at [C:\Users\jaslyn\Documents\NTU\BCG\Y4S2\SC4021 Information Retrieval\Project\sc4021-project\solr-9.8.1\server\solr\metadatacore], dataDir=[C:\Users\jaslyn\Documents\NTU\BCG\Y4S2\SC4021 Information Retrieval\Project\sc4021-project\solr-9.8.1\server\solr\metadatacore\data\]
